Area Code,Local Authority Name,Area name,Area of Admin Geography,Area of Domestic Buildings,Area of Domestic Gardens,Area of Non Domestic Buildings,Area of Road,Area of Rail,Area of Path,Area of Greenspace,Area of Water,Area of Other Land Uses,Area of Unclassified Land,Total Area of All Land Types,Quality of Fit Indicator
00AMGQ,Hackney,Queensbridge,1079.85,14.3,20.2,8.5,22.5,4.9,1.9,15.6,1.5,10.6,0,100,4.32
00AMGR,Hackney,Springfield,952.15,12,18.4,7.7,16.8,0,1,29.7,2.3,12.1,0,100,-1.02
00AMGS,Hackney,Stoke Newington Central,711.77,23.1,29.4,9.4,23.2,0,1.2,6.7,0,6.9,0,100,-0.65
00AMGT,Hackney,Victoria,803.98,17.2,26.6,8.4,26.6,0,0.9,12,0,8.3,0,100,-0.46
00AMGU,Hackney,Wick,1632.41,8.4,11.3,10,18.5,2,1.3,33.6,1.5,13.4,0,100,0.14
00ANGA,Hammersmith and Fulham,Addison,553.35,25.5,27.7,10.7,26.4,0.5,0.3,2.4,0,6.4,0,100,-1.54
00ANGB,Hammersmith and Fulham,Askew,759.23,22.5,29.2,9.3,23.2,0,0.4,7.5,0,7.9,0,100,-0.11
00ANGC,Hammersmith and Fulham,Avonmore and Brook Green,894.62,14.1,18.7,18.1,22.7,2,0.4,13.1,0,10.9,0,100,-0.96
00ANGD,Hammersmith and Fulham,College Park and Old Oak,3440.31,4.7,6.5,9.8,8.2,10,1.2,48,0.6,10.8,0,100,-0.43
00ANGE,Hammersmith and Fulham,Fulham Broadway,667.41,20.9,18.9,13.1,21.2,1.4,1.7,7.5,0,15.2,0,100,0.02
00ANGF,Hammersmith and Fulham,Fulham Reach,882.03,18.8,21.7,9.5,20.7,0.3,1.3,18.4,0,9.2,0,100,-6.92
00ANGG,Hammersmith and Fulham,Hammersmith Broadway,1104.47,14.6,16.3,17.2,26,2.4,0.3,7.4,1.4,14.4,0,100,-2.9
00ANGH,Hammersmith and Fulham,Munster,623.39,30.5,26.1,4.6,24.4,0,0.1,10.3,0,4,0,100,-0.25
00ANGJ,Hammersmith and Fulham,North End,638.27,18.9,16.4,13.4,19.7,5.9,0.6,10.1,0,15.1,0,100,0.77
00ANGK,Hammersmith and Fulham,Palace Riverside,1481.16,6.8,11.2,3.9,7.7,2,0.6,19.1,39,9.7,0,100,29.91
00ANGL,Hammersmith and Fulham,Parsons Green and Walham,897.69,21.8,23.2,10.6,24.3,0.4,0.8,11.6,0,7.2,0,100,-0.42
00ANGM,Hammersmith and Fulham,Ravenscourt Park,1219.63,17.3,29.7,7.2,21.5,0.8,0.2,12.8,0.3,10.3,0,100,-5.83
00ANGN,Hammersmith and Fulham,Sands End,1377.44,10,9,9.9,12.8,0,0.5,14.3,25.9,17.6,0,100,10.82
00ANGP,Hammersmith and Fulham,Shepherd's Bush Green,1067.49,16.8,16.7,11.2,20.9,6.2,0.7,9.8,0.1,17.7,0,100,3.79
00ANGQ,Hammersmith and Fulham,Town,650.32,24.7,23.5,12.8,24.5,0,0.3,6.5,0,7.7,0,100,-2.88
00ANGR,Hammersmith and Fulham,Wormholt and White City,904.23,15.2,28.6,5.4,22.6,0,2.2,13.9,0,12.2,0,100,0.39
00APGA,Haringey,Alexandra,2612.9,9.9,22.2,2.4,10.3,0.2,1.1,45.7,1.9,6.3,0,100,-0.65
00APGB,Haringey,Bounds Green,1383.91,14.6,30.7,6.3,18,5.6,1.5,16.4,0.3,6.7,0,100,0
00APGC,Haringey,Bruce Grove,931.46,25.4,36.9,5.5,20.4,2.7,0.2,5.5,0,3.5,0,100,0.44
00APGD,Haringey,Crouch End,1440,14.7,36.9,5.9,15.5,0,0.7,18.9,0.1,7.2,0,100,0.05
00APGE,Haringey,Fortis Green,1994.12,12.6,38,3.8,14.3,0,1.2,25,0,5,0,100,-0.52
00APGF,Haringey,Harringay,1561.73,14.8,20.5,3.4,15.3,9.5,0.7,29.6,1.6,4.5,0,100,0.9
00APGG,Haringey,Highgate,2498.75,9.8,30.1,3,11.7,1,0.8,39.3,0,4.3,0,100,-0.74
00APGH,Haringey,Hornsey,1055.36,18.1,25.5,8.6,19.8,0.1,2.2,12,0.4,13.3,0,100,-3.01
00APGJ,Haringey,Muswell Hill,1651.94,13.9,31.4,3.4,15.1,0,1.3,28.3,0,6.6,0,100,0.52
00APGK,Haringey,Noel Park,1229.58,18.4,25.1,9.6,20.9,9.4,0.7,7.7,0,8.1,0,100,3.33
00APGL,Haringey,Northumberland Park,1883.03,12.3,19.9,14.8,15.1,0.4,1,24.6,2.1,9.7,0,100,-0.67
00APGM,Haringey,St Ann's,1097.4,20.2,24.6,7,20.8,0,1.4,17.2,0,8.9,0,100,-0.46
00APGN,Haringey,Seven Sisters,1292.18,15.9,20.4,8.4,18,6.3,1.1,19.4,0.6,10.1,0,100,4.51
00APGP,Haringey,Stroud Green,1094.81,18.3,32.3,3.2,19.5,4.4,0.6,18.2,0.1,3.5,0,100,-3.41
00APGQ,Haringey,Tottenham Green,1361.17,17,22.6,11.6,22.4,0.1,0.6,11.5,0,14.1,0,100,-1.76
00APGR,Haringey,Tottenham Hale,1911.43,11.7,16.1,9.5,17.1,2.9,1.8,27.9,3.8,9.2,0,100,-0.01
00APGS,Haringey,West Green,1398.17,14.4,23.7,4.7,15.8,0,1.7,33.1,0.3,6.3,0,100,0.19
00APGT,Haringey,White Hart Lane,1697.27,11.7,28.2,4.3,18.1,0,1.7,29.3,0.6,6.1,0,100,-0.15
00APGU,Haringey,Woodside,1491.86,14.9,25.8,4.8,17.1,0,1.9,28.2,0.1,7,0,100,-0.11
00AQFY,Harrow,Belmont,1778.75,12.8,49.4,1.5,17.4,0,0.1,15.5,0,3.2,0,100,-0.14
00AQFZ,Harrow,Canons,5631.45,5.1,18,2.5,7.3,0.7,0.3,59.2,1.3,5.6,0,100,-1.91
00AQGA,Harrow,Edgware,1401.03,13.7,44.3,3.1,16.3,0,1.8,16.4,0.2,4.2,0,100,0.12
00AQGB,Harrow,Greenhill,1746.78,11.7,30.4,11.2,17.2,4.4,0.5,13.1,0,11.4,0,100,1.13
00AQGC,Harrow,Harrow on the Hill,3575.04,6.4,21.5,3.2,8.7,0.7,0.5,53,0.2,5.7,0,100,-0.52
00AQGD,Harrow,Harrow Weald,4588.75,5.3,22.8,1.2,7.7,0,0.4,59.3,0.4,2.9,0,100,2.38
00AQGE,Harrow,Hatch End,3281.12,8.8,40.8,1.9,12.4,2.1,0.4,30.5,0.1,3,0,100,-2.59
00AQGF,Harrow,Headstone North,3295.1,6.9,29.1,1.3,9.2,0.5,0.4,47.6,0.2,4.9,0,100,0.84
00AQGG,Harrow,Headstone South,1462.17,13.9,45.8,2.7,15.3,3.7,1.3,12.2,0,5,0,100,2.83
00AQGH,Harrow,Kenton East,1281,12.5,53.5,2.3,15.9,0,0.7,8.9,0.1,5.9,0,100,-0.47
00AQGJ,Harrow,Kenton West,1765.2,12,47.9,2.5,13.6,0,0.7,17.8,0.1,5.4,0,100,-2.27
00AQGK,Harrow,Marlborough,1645.69,12.4,34.7,9.6,15.7,0.3,1.1,13.2,0.2,12.9,0,100,-0.85
00AQGL,Harrow,Pinner,3269.54,8.7,41.6,1.9,10.9,0,0.5,33,0.2,3.1,0,100,0.25
00AQGM,Harrow,Pinner South,2353.43,10.7,47.2,1.3,13,1.6,0.9,22.1,0.3,2.9,0,100,1.72
00AQGN,Harrow,Queensbury,1612.85,12.2,42.9,2.4,15.1,0.1,1,22,0,4.2,0,100,-0.96
00AQGP,Harrow,Rayners Lane,1529.64,13,49.7,2.9,15.3,1.1,0.2,12.3,0.3,5.1,0,100,-0.09
00AQGQ,Harrow,Roxbourne,1505.63,12.1,35.1,4.3,15.4,0.9,1,22,0.2,9,0,100,0.28
00AQGR,Harrow,Roxeth,1575.6,12.2,45.1,2.1,14,0,1.2,21.4,0,4.1,0,100,-0.35
00AQGS,Harrow,Stanmore Park,4456.06,7.1,27.9,1.6,9,0,0.4,48.5,0.9,4.7,0,100,0.16
00AQGT,Harrow,Wealdstone,1193.02,14.6,45.1,5.2,17.3,3.3,1.1,7.1,0,6.2,0,100,2.12
00AQGU,Harrow,West Harrow,1521.17,12.9,43.2,1.6,15.3,1.2,0.8,20.6,0.1,4.2,0,100,-1.54
00ARGC,Havering,Brooklands,4201.41,7.1,22.2,4.6,9.8,0.4,1.1,46.9,0.1,7.8,0,100,-0.83
00ARGD,Havering,Cranham,6556.21,5.4,22.6,1.1,8.4,0.8,0.2,58.9,0.3,2.3,0,100,-0.98
00ARGE,Havering,Elm Park,3667.29,7.6,23.1,1,10.1,0.8,0.5,51,2.6,3.4,0,100,-4.13
00ARGF,Havering,Emerson Park,4638.91,9.1,44,1,10.2,0.2,0.4,32.5,0.4,2.2,0,100,0.32
00ARGG,Havering,Gooshays,7761.27,3.9,13.4,1,9,0,0.5,68.8,0.9,2.5,0,100,-6.72
00ARGH,Havering,Hacton,2460.72,12.9,44.4,1.9,14.8,1.1,0.3,21,0.1,3.6,0,100,-1.15
00ARGJ,Havering,Harold Wood,7595.51,4.2,15.9,3,7.9,0.6,0.6,61.5,1,5.2,0,100,-0.34
00ARGK,Havering,Havering Park,9788.12,3,11.9,0.7,4,0,0.1,78.1,0.4,1.7,0,100,4.62
00ARGL,Havering,Heaton,3414.64,7.2,21.5,2.6,10,0,1.3,52.1,0.1,5.3,0,100,2.24
00ARGM,Havering,Hylands,2901.93,10.4,42,2.6,12,0,0.9,26.3,0.4,5.4,0,100,1.38
00ARGN,Havering,Mawneys,3048.91,11.3,43.7,3.5,13.8,0,0.6,21.3,0.3,5.4,0,100,-15.02
00ARGP,Havering,Pettits,3953.26,9.7,41.6,1.2,12.1,0,0.5,31.2,1,2.7,0,100,-2.9
00ARGQ,Havering,Rainham and Wennington,16900.1,2,6.8,1.3,4.3,0.2,0.1,79,3,3.5,0,100,-6.17
00ARGR,Havering,Romford Town,2866.49,11.8,34.6,10.3,17.2,3.8,0.9,10,0.1,11.3,0,100,2.35
00ARGS,Havering,St Andrew's,2686.95,11.1,43.8,3.8,14.1,2.4,0.6,16,0.8,7.4,0,100,1.5
00ARGT,Havering,South Hornchurch,6846.96,5.3,16.7,3.9,9.5,0.3,0.3,44.6,3.3,16.2,0,100,-5.09
00ARGU,Havering,Squirrel's Heath,2646,12.2,48.1,2.6,13.4,1.9,0.4,14.9,0.2,6.3,0,100,-0.93
00ARGW,Havering,Upminster,22534.21,1.8,7.9,0.6,3.1,0.2,0.1,82.3,2.2,1.9,0,100,-0.44
00ASGG,Hillingdon,Barnhill,2119.19,10.3,37,2.8,15.5,0,1.2,26.4,0.9,5.8,0,100,-7.53
00ASGH,Hillingdon,Botwell,4372.24,5.7,19.4,9.6,12.1,0.4,1.1,34.3,1.8,15.6,0,100,-0.56
00ASGJ,Hillingdon,Brunel,3277.37,8.4,28.1,4.5,11.8,0,1.1,35.9,0.5,9.6,0,100,-0.43
00ASGK,Hillingdon,Cavendish,2012.76,12.6,45.1,2.3,15.1,0.8,0.3,18.1,0.2,5.5,0,100,-0.8
00ASGL,Hillingdon,Charville,2973.34,7.2,26.5,1.8,10.3,0,0.8,49.8,0.2,3.5,0,100,4.64
00ASGM,Hillingdon,Eastcote and East Ruislip,4058.24,8.3,39.2,1.9,10.2,0,0.4,36.2,0.4,3.4,0,100,0.68
00ASGN,Hillingdon,Harefield,15224.36,1.3,5.2,0.7,2.2,0.1,0.2,76.7,11.4,2.2,0,100,-0.41
00ASGP,Hillingdon,Heathrow Villages,23525.01,1.3,3.3,4.9,7.4,0,0.3,52,1.6,29,0,100,-0.17
00ASGQ,Hillingdon,Hillingdon East,3594.34,6.3,24.9,1.7,9.4,0,0.5,53.2,0.3,3.9,0,100,0.9
00ASGR,Hillingdon,Ickenham,6206.61,5.2,26.1,0.6,7.4,0.2,0.3,52.7,6,1.4,0,100,-0.35
00ASGS,Hillingdon,Manor,1973.78,12.4,44.2,2.7,15.3,0.6,0.5,20.1,0.1,4.1,0,100,-1.53
00ASGT,Hillingdon,Northwood,7406.3,4.5,21.4,1.6,5.7,0.4,0.8,62.5,0.2,2.9,0,100,-0.12
00ASGU,Hillingdon,Northwood Hills,3327.64,9,37.3,1.8,11.3,1.1,0.4,36.1,0.1,3,0,100,0.12
00ASGW,Hillingdon,Pinkwell,2744.37,8.1,27.7,4.9,14.2,1.9,0.9,34.5,0.2,7.5,0,100,1.14
00ASGX,Hillingdon,South Ruislip,7410.67,3.5,10.5,4,7,4.6,0.1,57.1,0.4,12.8,0,100,0.62
00ASGY,Hillingdon,Townfield,3498.15,6.3,22.2,8.2,13.7,1,1.3,33.6,1.7,12.1,0,100,0.68
00ASGZ,Hillingdon,Uxbridge North,4633.27,7.6,30.2,3,12,0.7,0.5,40.9,0.8,4.4,0,100,-0.27
00ASHA,Hillingdon,Uxbridge South,3117.1,7.9,21,10.1,12.4,0,1.3,27.5,7.7,12.1,0,100,0.77
00ASHB,Hillingdon,West Drayton,3489.83,7.7,30.7,3,12.1,0.7,0.7,33.3,4.5,7.3,0,100,-0.86
00ASHC,Hillingdon,West Ruislip,4389.69,6.3,24.4,2.1,8.7,0.9,0.5,52.1,0.2,4.7,0,100,-0.93
00ASHD,Hillingdon,Yeading,2332.13,8.6,27.5,2,14.6,0,1.9,36.4,2.4,6.6,0,100,-0.22
00ASHE,Hillingdon,Yiewsley,4012.93,5.4,18.6,4.9,11,1.6,1.3,41.3,5.6,10.3,0,100,0.43
00ATFY,Hounslow,Bedfont,4446.55,5.2,16.6,3.5,8.4,0.3,0.9,52.6,4.3,8.2,0,100,0.11
00ATFZ,Hounslow,Brentford,3187.03,6.1,14.2,6.5,12,1.7,1,43.6,1.9,13.1,0,100,-0.72
00ATGA,Hounslow,Chiswick Homefields,2255.68,11,18.5,4.5,14.5,0.2,1,33.8,9.6,6.9,0,100,-1.13
00ATGB,Hounslow,Chiswick Riverside,2080.5,11.1,26.7,1.9,16,1,1,25.1,11.4,5.7,0,100,3.81
00ATGC,Hounslow,Cranford,2722.63,7.4,24.1,8.6,14.9,0.3,0.7,32.4,0.9,10.6,0,100,-0.53
00ATGD,Hounslow,Feltham North,3384.29,6.5,22.8,7.4,10.5,0,0.9,36.6,4.7,10.5,0,100,-2.96
00ATGE,Hounslow,Feltham West,3182.02,6.5,19.9,3.8,9.5,0.5,0.7,48.7,2.4,8,0,100,-0.24
00ATGF,Hounslow,Hanworth,3251.19,6,17.8,4,13.8,0,0.7,42.2,5.5,10,0,100,-0.66
00ATGG,Hounslow,Hanworth Park,3641.23,5.9,19.5,5.6,9.7,0.3,0.9,47.8,0.7,9.7,0,100,-0.04
00ATGH,Hounslow,Heston Central,1684.66,10.6,43.8,2.8,15.8,0.3,1.3,18.5,0,6.8,0,100,-0.92
00ATGJ,Hounslow,Heston East,2004.19,9.2,32.6,3.3,15.8,0,1.2,31.8,0,6.2,0,100,3.81
00ATGK,Hounslow,Heston West,3829.75,4.8,15.1,5.8,12.4,0,0.7,51.2,0.3,9.5,0,100,0.1
00ATGL,Hounslow,Hounslow Central,1736.16,11.4,29.9,10.2,15,1.9,1.2,17.8,0.1,12.4,0,100,0.57
00ATGM,Hounslow,Hounslow Heath,2786.71,7.1,19.2,3.5,8.4,0.6,0.5,52.6,1.3,6.8,0,100,0.91
00ATGN,Hounslow,Hounslow South,1793.43,12.1,40.4,2.3,14.4,0.5,0.3,21.7,0.3,7.9,0,100,-0.83
00ATGP,Hounslow,Hounslow West,1620.57,11.6,37.5,8,15.5,0,1.1,12.9,0,13.5,0,100,-0.18
00ATGQ,Hounslow,Isleworth,2030.63,8.7,24.4,7.8,14.2,0,1.4,23.8,2.6,17.1,0,100,-1.18
00ATGR,Hounslow,Osterley and Spring Grove,6337.36,4.4,14.7,4.3,9.4,1.5,0.6,56.9,2.1,6.1,0,100,-0.55
00ATGS,Hounslow,Syon,2852.15,6.4,15.4,6.7,10.6,0.5,1.4,34.2,14,10.8,0,100,6.98
00ATGT,Hounslow,Turnham Green,1765.87,14.6,25.2,9.6,19.1,3.2,1,16.9,0.3,10,0,100,0.08
00AUFX,Islington,Barnsbury,829.55,15.7,18.7,12.2,24.1,0.5,1.6,14.9,0.2,12.1,0,100,-0.2
00AUFY,Islington,Bunhill,1089.1,7.2,1.6,30.6,25.8,0,0.7,12,0,22,0,100,1.29
00AUFZ,Islington,Caledonian,1138.22,15,12,15.7,22,0.7,2.5,14.9,1.2,16.1,0,100,-3.83
00AUGA,Islington,Canonbury,807.3,17.8,29.8,4.2,24.6,0,2,13.3,0.4,7.9,0,100,-0.1
00AUGB,Islington,Clerkenwell,934.59,11.8,6.7,24.3,28.3,1.4,1.9,11.7,0.3,13.5,0,100,-0.46
00AUGC,Islington,Finsbury Park,916.46,16.6,16.1,12.9,20.7,16.1,1.4,6.9,0,9.2,0,100,13.79
00AUGD,Islington,Highbury East,1003.9,15.9,27.3,8.4,21.4,0.6,0.8,16.1,0,9.4,0,100,0.79
00AUGE,Islington,Highbury West,1081.77,17.1,23.6,13.3,21.9,1,0.2,10.8,0,12.1,0,100,-8.13
00AUGF,Islington,Hillrise,824.85,15.8,24.7,8.5,20.5,0,1.7,17.9,0,10.9,0,100,-0.09
00AUGG,Islington,Holloway,1009.46,13.5,20,10.2,22,1,2.2,15.5,0,15.5,0,100,-2.13
00AUGH,Islington,Junction,1027.71,14.1,20.8,13.1,19.8,1.7,0.5,13.8,0,16.2,0,100,0.06
00AUGJ,Islington,Mildmay,825.86,15.8,28.4,7.4,22,3.9,1.1,11,0,10.4,0,100,-0.8
00AUGK,Islington,St George's,845.55,17.1,32.2,6.7,19.7,0,0.7,8.9,0,14.7,0,100,-0.83
00AUGL,Islington,St Mary's,868.88,14.6,16.9,17.2,26.1,0.6,2,10.3,0,12.1,0,100,0.05
00AUGM,Islington,St Peter's,809.76,17.6,17.7,12.9,26.5,0,1.5,8.8,2.1,12.9,0,100,0.09
00AUGN,Islington,Tollington,846.91,20.7,27.5,7.7,21.4,1.5,0.4,10.7,0,10.1,0,100,0.27
00AWFY,Kensington and Chelsea,Abingdon,628.7,23.8,22.2,13.5,26.5,0,1.5,6.9,0,5.6,0,100,0.35
00AWFZ,Kensington and Chelsea,Brompton,955,22.4,9.6,20.5,27.8,0.7,2,11.1,0,5.9,0,100,-0.59
00AWGA,Kensington and Chelsea,Campden,911.78,16.6,18.1,11.1,17.4,0.1,3,24,0,9.6,0,100,-1.03
00AWGB,Kensington and Chelsea,Colville,390.8,24.4,21.2,11.3,27.7,0,0.6,8,0,6.8,0,100,-1.69
00AWGC,Kensington and Chelsea,Courtfield,482.09,30.5,12.4,10.8,29.7,0,3.1,11.1,0,2.3,0,100,-1.04
00AWGD,Kensington and Chelsea,Cremorne,612.25,15.5,11.8,14.5,24,0,0.1,8.9,8,17.2,0,100,-13.45
00AWGE,Kensington and Chelsea,Earl's Court,459.4,22.3,18.3,17,24.9,5,1.4,8.4,0,2.9,0,100,-3.77
00AWGF,Kensington and Chelsea,Golborne,949.32,9,7.8,8.7,15.8,4.1,3.4,32.4,4,14.9,0,100,-2.57
00AWGG,Kensington and Chelsea,Hans Town,552.17,26.8,13.5,15.3,31.1,0.1,1.7,5.6,0,5.9,0,100,0.31
00AWGH,Kensington and Chelsea,Holland,1038.83,17.6,27.9,4.4,19.4,1.8,0.9,22,0.1,5.8,0,100,-0.43
00AWGJ,Kensington and Chelsea,Norland,726.62,19.2,25.2,6,29.2,0,1.6,12.2,0,6.7,0,100,1.25
00AWGK,Kensington and Chelsea,Notting Barns,622.95,16,22.7,10.4,27.8,0,0.6,9.8,0,12.7,0,100,-1.05
00AWGL,Kensington and Chelsea,Pembridge,487.98,23.3,25.8,8.8,27.1,0.1,1.8,10.2,0,3.1,0,100,-0.38
00AWGM,Kensington and Chelsea,Queen's Gate,604.81,29.4,14.2,16.2,27.6,1.7,0.8,5.6,0,4.3,0,100,-0.28
00AWGN,Kensington and Chelsea,Redcliffe,693.6,21,22.1,6,18.6,0.8,1.5,23.6,0,6.3,0,100,-0.6
00AWGP,Kensington and Chelsea,Royal Hospital,901.29,12.1,8,8,18,0,0.5,20.3,22.2,10.8,0,100,11.49
00AWGQ,Kensington and Chelsea,St Charles,709.26,13.5,19.5,9.2,19.3,9.2,0.8,16.5,0,11.9,0,100,4.49
00AWGR,Kensington and Chelsea,Stanley,662.53,19.7,20.3,16.8,25.2,0,0.8,8.2,0,9.1,0,100,-0.27
00AXFX,Kingston upon Thames,Alexandra,2677.35,7.8,32.1,1.3,12.9,0,0.4,41.7,0.3,3.4,0,100,-0.36
00AXFY,Kingston upon Thames,Berrylands,1452.01,13.6,49.8,2.9,15.9,0.3,0.7,10.6,0.2,6,0,100,-1.2
00AXFZ,Kingston upon Thames,Beverley,1880.33,11,33.1,5.3,12.9,4,1.1,26.8,0.4,5.4,0,100,2.31
00AXGA,Kingston upon Thames,Canbury,1241.48,17.3,32.2,7.2,19.6,2.6,0.8,10.4,0,9.9,0,100,0.05
00AXGB,Kingston upon Thames,Chessington North and Hook,1929.33,9.9,35.8,3.8,14.4,0,0.4,30.1,0.1,5.4,0,100,0.19
00AXGC,Kingston upon Thames,Chessington South,7551.66,2.9,11.7,1.3,4.3,0.1,0.2,74.8,0.7,4,0,100,0.22
00AXGD,Kingston upon Thames,Coombe Hill,4409.61,6.5,32.5,2.3,10.3,0,0.6,43.3,0.5,3.8,0,100,0.22
00AXGE,Kingston upon Thames,Coombe Vale,1647.42,13.8,53.8,1.8,14.9,1,0.5,10.8,0.1,3.5,0,100,0.1
00AXGF,Kingston upon Thames,Grove,1919.99,10,16.6,13.7,16.3,0,0.7,21,7.2,14.5,0,100,2.32
00AXGG,Kingston upon Thames,Norbiton,1348.11,12.1,27.2,5.9,15.7,0.1,1.3,25.7,0.7,11.2,0,100,-1.67
00AXGH,Kingston upon Thames,Old Malden,1805.24,13.3,45.2,1.5,14.5,0.2,0.7,20.9,0.4,3.3,0,100,-0.63
00AXGJ,Kingston upon Thames,St James,2166.77,10.1,40.2,1.6,13.8,1.5,0.6,27.4,0.4,4.4,0,100,1.61
00AXGK,Kingston upon Thames,St Mark's,1375.99,12,29.5,6.3,15.7,0.8,1.3,22.5,0,11.9,0,100,-2.3
00AXGL,Kingston upon Thames,Surbiton Hill,1664.43,13.4,53,3.7,15.5,0,0.3,8,0.1,5.9,0,100,-0.83
00AXGM,Kingston upon Thames,Tolworth and Hook Rise,2594.82,7.6,26.1,6.7,13.4,1.5,0.6,35.3,0.1,8.6,0,100,0.53
00AXGN,Kingston upon Thames,Tudor,1582.82,13.3,43.9,3.5,15.4,0,1.3,15.6,0,7,0,100,-4.59
00AYFZ,Lambeth,Bishop's,1534.17,6.5,3.8,22.9,20.4,2.4,0.8,12.6,13.3,17.1,0,100,-3.56
00AYGA,Lambeth,Brixton Hill,1129.11,17.8,24.8,12.2,20.9,0,0.5,8.1,0,15.8,0,100,-0.31
00AYGB,Lambeth,Clapham Common,1343.12,15.9,26,5.3,18.7,0,1.6,22.8,0.7,8.9,0,100,-1.68
00AYGC,Lambeth,Clapham Town,1120.25,17.9,25,9.8,22.1,0.1,1.4,15.2,0.1,8.3,0,100,-1.1
00AYGD,Lambeth,Coldharbour,1208.18,15,20,9.3,21.8,4.9,1.1,14,0,13.8,0,100,1.76
00AYGE,Lambeth,Ferndale,852.68,22.8,24.4,9.6,23.8,0,0.9,7.4,0.1,11,0,100,-1.64
00AYGF,Lambeth,Gipsy Hill,1569.79,14.4,30.9,4.3,16.3,1.1,1.1,24.2,0,7.7,0,100,-0.3
00AYGG,Lambeth,Herne Hill,2031.79,12.2,21,6.4,14.4,3,2.5,31.4,0.4,8.7,0,100,1.02
00AYGH,Lambeth,Knight's Hill,1472.71,17.1,33.9,5.4,18.2,2.2,0.4,15.7,0,7,0,100,0.96
00AYGJ,Lambeth,Larkhall,1058.72,16,19.4,10.1,21.1,2.7,1,16.9,0,12.8,0,100,1.01
00AYGK,Lambeth,Oval,1275.21,12.1,12.7,13.3,21.1,0.2,1.9,21.1,0,17.7,0,100,-4.58
00AYGL,Lambeth,Prince's,1161.64,11.5,10.4,15.9,23,2.1,1.2,17.7,2.1,16.1,0,100,-8.18
00AYGM,Lambeth,St Leonard's,1448.68,18.1,40.3,7.3,18.7,1.4,0.5,7.6,0,6.2,0,100,-1.41
00AYGN,Lambeth,Stockwell,868.53,16.2,24.6,9.3,22.8,0,1.5,13.2,0,12.4,0,100,-0.6
00AYGP,Lambeth,Streatham Hill,1272.62,19,37.1,4.7,21.1,0.2,0.4,10.7,0,6.8,0,100,-0.8
00AYGQ,Lambeth,Streatham South,1698.39,15,33.9,2.5,17.7,2.3,0.9,23,0.3,4.2,0,100,0.93
00AYGR,Lambeth,Streatham Wells,1451.36,16.2,37.2,5.3,16.6,0.2,0.9,16.4,0.1,7.2,0,100,-1.55
00AYGS,Lambeth,Thornton,1082.61,16.9,29.6,6.2,20.2,0,1.6,15.5,0,10,0,100,0.04
00AYGT,Lambeth,Thurlow Park,1514.6,17,34.5,3.7,20.1,0,0.7,18.4,0,5.6,0,100,-1.85
00AYGU,Lambeth,Tulse Hill,1029.4,17.8,26.3,6.1,20.8,0,1.4,14.7,0,12.9,0,100,-0.44
00AYGW,Lambeth,Vassall,1129.43,14.7,21,9.9,20.9,0,1.9,18.6,0,13.1,0,100,0.08
00AZGD,Lewisham,Bellingham,3084.77,8.3,21.9,2.6,12.6,1.5,1.2,45.4,0.5,6,0,100,-0.11
00AZGE,Lewisham,Blackheath,2312.53,9.6,27.8,4.4,15.3,0.4,0.6,35.3,0.2,6.3,0,100,-0.41
00AZGF,Lewisham,Brockley,1686.16,15.1,32.2,6.3,19.8,2,0.7,15,0.6,8.4,0,100,-1.32
00AZGG,Lewisham,Catford South,1867.59,17.4,51.5,3.7,17.6,0.7,0.2,3.6,0.2,5.2,0,100,0.35
00AZGH,Lewisham,Crofton Park,1721.37,16.7,34,4,17.3,2.8,0.9,19.6,0,4.7,0,100,0.41
00AZGJ,Lewisham,Downham,2389.07,10.3,33.9,3.1,15.1,0,0.6,31.5,0.6,4.9,0,100,-0.66
00AZGK,Lewisham,Evelyn,1773.65,8.5,10.2,14.3,15.6,0.9,1.8,23.4,1.7,23.6,0,100,-8.22
00AZGL,Lewisham,Forest Hill,1827.8,12.8,40.8,5,17.5,0.3,0.7,14.7,0,8.3,0,100,-0.19
00AZGM,Lewisham,Grove Park,2392.41,11.3,36,1.6,13.7,9.2,0.8,22,0.2,5.2,0,100,6.96
00AZGN,Lewisham,Ladywell,1608.62,16.1,32.8,2.1,18,0.6,2.2,24.9,0.1,3.2,0,100,-0.32
00AZGP,Lewisham,Lee Green,1809.13,16.4,39.4,4.1,19.4,0.4,0.7,12.8,0.6,6.2,0,100,-4.95
00AZGQ,Lewisham,Lewisham Central,2056.06,13,24.3,9.8,19.3,4,0.7,14.4,0.9,13.5,0,100,1.62
00AZGR,Lewisham,New Cross,1816.61,10.3,13,11.1,16.5,10.1,1.3,19.7,0.7,17.3,0,100,1.72
00AZGS,Lewisham,Perry Vale,1684.47,16.3,39.9,3.7,18.5,0.8,0.7,12.3,0,7.7,0,100,-0.1
00AZGT,Lewisham,Rushey Green,1780.91,15.5,27.9,5.9,16.1,0.9,0.4,24.6,0.5,8.3,0,100,-0.74
00AZGU,Lewisham,Sydenham,1744.61,16,35.6,3.7,20.3,0.7,1.6,15.4,0.1,6.5,0,100,-0.94
00AZGW,Lewisham,Telegraph Hill,1543.99,15,30.4,4.8,19.1,2.9,1.3,18.3,0,8.1,0,100,1.18
00AZGX,Lewisham,Whitefoot,2223.64,9.8,33.3,3.6,15.1,0,0.9,28.4,0.2,8.7,0,100,-1.85
